,,,,,initial from mathew final model,
ID,Land Cover,Manning_n,% imperv,CN,IA,Infil_Rate
0,NoData,0.045,0,88,0.045,0.02
1,Mixed forest land,0.045,0,70,0.045,0.04
2,Reservoirs,0.025,0,100,0.01,0
3,Residential,0.08,65,82,0.015,0.01
4,Cropland and pasture,0.045,5,77,0.03,0.02
5,Deciduous forest land,0.09,2,73,0.04,0.03
6,Evergreen forest land,0.11,2,75,0.035,0.03
7,Forested wetland,0.025,0,80,0.02,0.01
8,Nonforested wetland,0.03,0,80,0.02,0.01
9,Commercial and Services,0.085,90,89,0.015,0.008
10,Other urban or built-up land,0.085,70,86,0.015,0.008
11,Transitional areas,0.07,15,74,0.025,0.015
12,Mixed rangeland,0.045,5,72,0.03,0.02
13,"Transportation, communication and utilities",0.045,85,85,0.01,0.007
14,Confined feeding operations,0.035,80,88,0.015,0.01
15,Bays and estuaries,0.025,0,100,0.01,0
16,Industrial,0.085,90,90,0.015,0.009
17,"Strip mines, quarries and gravel pits",0.045,5,77,0.03,0.02
18,Streams and canals,0.03,5,100,0.01,0
19,Other agricultural land,0.045,5,75,0.03,0.02
20,Mixed urban or built-up land,0.085,75,85,0.015,0.009
21,Industrial and commercial complex,0.085,90,88,0.015,0.009
22,Lakes,0.025,0,100,0.01,0
23,"Orchards, groves, vineyards and nurseries",0.045,5,72,0.03,0.02
24,Shrub-brushland rangeland,0.065,2,70,0.03,0.02
25,Unknown,0.04,5,70,0.03,0.02
26,Beaches,0.025,0,78,0.01,0
27,Sandy areas other than beaches,0.035,0,78,0.01,0
28,Null area -- no land use assigned,0.035,0,80,0.01,0
